Name,Property,Branch,Date,Location,Week
Beanpot Semifinals,,"All Generate, MGMT","February 3, 2025 8:00 PM (EST)",,W04
OPS <> EMGNT Mixer,,"Engagement, Operations","February 5, 2025 6:30 PM (EST) → 8:00 PM",Dodge 170,W04
Superbowl Sunday,,"All Generate, MGMT","February 9, 2025",,W04
Buddies First Event,,All Generate,"February 18, 2025 7:00 PM (EST) → 8:30 PM",Mugar Hall 105,W06
HW <> SW Kickback,,"Hardware, Software","March 18, 2025 7:00 PM (EDT) → 8:00 PM",Hayden 424,W09
All Hands Potluck,,All Generate,"February 21, 2025 7:00 PM (EST) → 8:30 PM",Sherman center Lobby & Conference Room,W06
Field Day,,All Generate,"February 22, 2025 11:00 AM (EST) → 1:00 PM",Meet in Sherm Lobby,W06
Visit from Ryder,,All Generate,"February 14, 2025 1:00 PM (EST) → 2:00 PM",Sherman Center Lobby,W05
Spill the Tea,,All Generate,"April 1, 2025 7:00 PM (EDT)",SL 009,W11
Giving Day,,MGMT,"April 10, 2025",,W12
Hardware Reviews with Motiv Design,,Hardware,"March 12, 2025 4:00 PM (EDT) → 8:00 PM",TBD,W08
Schneider Electric Workshop,,Hardware,"March 11, 2025 7:00 PM (EDT) → 8:30 PM",Makerspace,W08
Alumni Panel,,All Generate,"March 17, 2025 → March 21, 2025",,W09
OPS Mixer?,,Operations,"March 31, 2025 → April 4, 2025",,W11
Data Solutions Connect,,Operations,"March 13, 2025 8:30 PM (EDT) → 9:30 PM",HA 008B,W08
Showcase Practice,,,"November 19, 2024 8:00 PM (EST) → 10:00 PM",EXP 201,-
Showcase Practice,,,"December 2, 2024 7:00 PM (EST) → 9:00 PM",EXP 201,-
Post All Hands | TimeOut Market,,All Generate,"February 20, 2025 9:00 PM (EST) → 11:00 PM",Time Out Market,W06
All Hands,,All Generate,"February 20, 2025 7:00 PM (EST) → 9:00 PM",CH 101,W06
Bob Ross Paint Night,,All Generate,"March 19, 2025 6:00 PM (EDT) → 7:00 PM",TBD,W09
Cookie Decorating,,All Generate,"March 25, 2025",,W10
Showcase Slides,,,"March 24, 2025 → March 27, 2025",,W10
Lead + Chief Bootcamp,,All Generate,"January 8, 2025 7:30 PM (EST) → 8:30 PM",Makerspace,W00
SW Social,,Software,"January 11, 2025 1:00 PM (EST) → 3:00 PM",,W00
Figma Bootcamp,,"Engagement, Software","January 11, 2025 → January 11, 2025",Sherm Lobby,W00
All Engagement First Meeting + Hangout,Chirag Chadha,Engagement,"January 9, 2025 6:00 PM (EST) → 7:30 PM",Makerspace,W00
SWE Bootcamp,,Software,"January 11, 2025 → January 11, 2025",Makerspace,W00
HW Workshop,,Hardware,"January 15, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W01
HW Workshop,,Hardware,"January 22, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W02
HW Workshop,,Hardware,"January 29, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W03
HW Workshop,,Hardware,"February 19, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W06
HW Workshop,,Hardware,"February 12, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W05
HW Workshop,,Hardware,"February 26, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W07
HW Workshop,,Hardware,"March 12, 2025 6:30 PM (EDT) → 7:30 PM",Makerspace,W08
HW Workshop,,Hardware,"March 19, 2025 6:30 PM (EDT) → 7:30 PM",Makerspace,W09
HW Workshop,,Hardware,"April 2, 2025 6:30 PM (EDT) → 7:30 PM",Makerspace,W11
HW Workshop,,Hardware,"March 26, 2025 6:30 PM (EDT) → 7:30 PM",Makerspace,W10
Showcase After Dark,,All Generate,"April 11, 2025 10:00 PM (EDT)",TBD,W12
Howl At the Moon 21+ Night,,All Generate,"March 21, 2025 10:00 PM (EDT)",TBD,W09
COE Winter Club Fair,Chirag Chadha,All Generate,"January 15, 2025 6:00 PM (EST) → 7:30 PM",Curry Ballroom,W01
"SW Featurethon ",Linwood Blaisdell,Software,"March 29, 2025 12:00 PM (EDT) → 9:00 PM",,W10
All Hands After Dark,,All Generate,"February 22, 2025 10:00 PM (EST)","MYSTERY LOCATION ",W06
SW Grind Session,Linwood Blaisdell,Software,"February 15, 2025 12:00 PM (EST) → 3:00 PM",Sherm,W05
SW Design Crit,"Omid Daliri, Erin Lee, Linwood Blaisdell",Software,"February 13, 2025 6:00 PM (EST) → 7:00 PM",Snell 003,W05
OPS Kickback?,,Operations,"March 20, 2025 6:30 PM (EDT) → 7:30 PM",TBD,W09
Data Solutions Connect,,Operations,"April 3, 2025 8:30 PM (EDT) → 8:30 PM",HA 008B,W11
