Name,Picture,Used In,Forward Voltage,Link(s)
AEMD-CM3L-Z1C02,,Autopasser v2,2.8V,https://www.digikey.com/en/products/detail/broadcom-limited/AEMD-CM3L-Z1C02/15181536
150141RS63130,LEDs%2014af18dd5a948091a736de4c31471c8d/7f63db7a-d0d5-40b8-916d-6258c87fc837.jpeg,RoboUmp,2.4V,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150141RS63130/13584806
